addiu,31..27,11110,26..21,*,20..16,*,15..11,01001,10..8,*,7..5,000,4..0,*
addiu,31..27,11110,26..20,*,19..16,*,15..11,01000,10..8,*,7..5,*,4,0,3..0,*
addiu,31..27,11110,26..21,*,20..16,*,15..11,00001,10..8,*,7..5,000,4..0,*
addiu,31..27,11110,26..21,*,20..16,*,15..11,01100,10..8,011,7..5,000,4..0,*
addiu,31..27,11110,26..21,*,20..16,*,15..11,00000,10..8,*,7..5,000,4..0,*
addiu,31..27,11110,26..21,*,20..16,*,15..11,00000,10..8,*,7..5,000,4..0,*
asmacro,31..27,11110,26..24,*,23..21,*,20..16,*,15..11,11100,10..8,*,7..5,*,4..0,*
b,31..27,11110,26..21,*,20..16,*,15..11,00010,10..5,000000,4..0,*
beqz,31..27,11110,26..21,*,20..16,*,15..11,00100,10..8,*,7..5,000,4..0,*
bnez,31..27,11110,26..21,*,20..16,*,15..11,00101,10..8,*,7..5,000,4..0,*
bteqz,31..27,11110,26..21,*,20..16,*,15..11,01100,10..8,000,7..5,000,4..0,*
btnez,31..27,11110,26..21,*,20..16,*,15..11,01100,10..8,001,7..5,000,4..0,*
cmpi,31..27,11110,26..21,*,20..16,*,15..11,01110,10..8,*,7..5,000,4..0,*
jal,31..27,00011,26,0,25..21,*,20..16,*,15..0,*
jalx,31..27,00011,26,1,25..21,*,20..16,*,15..0,*
jalx,31..26,011101,25..0,*
lb,31..27,11110,26..21,*,20..16,*,15..11,10000,10..8,*,7..5,*,4..0,*
lbu,31..27,11110,26..21,*,20..16,*,15..11,10100,10..8,*,7..5,*,4..0,*
lh,31..27,11110,26..21,*,20..16,*,15..11,10001,10..8,*,7..5,*,4..0,*
lhu,31..27,11110,26..21,*,20..16,*,15..11,10101,10..8,*,7..5,*,4..0,*
li,31..27,11110,26..21,*,20..16,*,15..11,01101,10..8,*,7..5,000,4..0,*
lw,31..27,11110,26..21,*,20..16,*,15..11,10011,10..8,*,7..5,*,4..0,*
li,31..27,11110,26..21,*,20..16,*,15..11,10110,10..8,*,7..5,000,4..0,*
lw,31..27,11110,26..21,*,20..16,*,15..11,10010,10..8,*,7..5,000,4..0,*
restore,31..27,11110,26..24,*,23..20,*,19..16,*,15..11,01100,10..8,100,7,0,6,*,5,*,4,*,3..0,*
restore,31..27,11110,26..24,*,23..20,*,19..16,*,15..11,01100,10..8,100,7,1,6,*,5,*,4,*,3..0,*
save,31..27,11110,26..24,*,23..20,*,19..16,*,15..11,01100,10..8,100,7,1,6,*,5,*,4,*,3..0,*
sb,31..27,11110,26..21,*,20..16,*,15..11,11000,10..8,*,7..5,*,4..0,*
sh,31..27,11110,26..21,*,20..16,*,15..11,11001,10..8,*,7..5,*,4..0,*
sll,31..27,11110,26..22,*,21..16,000000,15..11,00110,10..8,*,7..5,*,4..2,000,1..0,00
slti,31..27,11110,26..21,*,20..16,*,15..11,01010,10..8,*,7..5,000,4..0,*
sltiu,31..27,11110,26..21,*,20..16,*,15..11,01011,10..8,*,7..5,000,4..0,*
sra,31..27,11110,26..22,*,21..16,000000,15..11,00110,10..8,*,7..5,*,4..2,000,1..0,11
srl,31..27,11110,26..22,*,21..16,000000,15..11,00110,10..8,*,7..5,*,4..2,000,1..0,10
sw,31..27,11110,26..21,*,20..16,*,15..11,11011,10..8,*,7..5,*,4..0,*
sw,31..27,11110,26..21,*,20..16,*,15..11,11010,10..8,*,7..5,000,4..0,*
sw,31..27,11110,26..21,*,20..16,*,15..11,01100,10..8,010,7..5,000,4..0,*
